pathway,atlas_dir,atlas_stat,atlas_p,atlas_fdr,GSE16561_stroke_vs_control_t,GSE16561_stroke_vs_control_dir,GSE16561_stroke_vs_control_concordant,GSE22255_stroke_vs_control_t,GSE22255_stroke_vs_control_dir,GSE22255_stroke_vs_control_concordant,GSE58294_stroke_vs_control_3h_t,GSE58294_stroke_vs_control_3h_dir,GSE58294_stroke_vs_control_3h_concordant,GSE58294_stroke_vs_control_5h_t,GSE58294_stroke_vs_control_5h_dir,GSE58294_stroke_vs_control_5h_concordant,GSE58294_stroke_vs_control_24h_t,GSE58294_stroke_vs_control_24h_dir,GSE58294_stroke_vs_control_24h_concordant,GSE58294_24h_vs_3h_t,GSE58294_24h_vs_3h_dir,GSE58294_24h_vs_3h_concordant
REAC:mRNA Splicing - Minor Pathway,down,-3.901632157068451,0.0004444400189522,0.045729738881509,-1.9834283303632567,down,True,-0.8262454955742264,down,True,-0.6599905412221725,down,True,-1.7198373366199096,down,True,-1.2026226086181488,down,True,-0.2319273535305678,down,True
REAC:Packaging Of Telomere Ends,up,3.897642847251394,0.0004494679471549,0.045729738881509,-0.9173588388487349,down,False,0.613999096315161,up,True,2.9401578527535,up,True,2.1415533313156176,up,True,0.8698590843244159,up,True,-1.5195305143313045,down,False
GOBP:regulation of G1/S transition of mitotic cell cycle (GO:2000045),down,-3.900642601641765,0.0004456820651931,0.045729738881509,0.23074396332048586,up,False,-0.004119621416976226,down,True,0.2790564710850195,up,False,-1.484942523965059,down,True,-0.38123712796740455,down,True,-0.45692572119575947,down,True
GOBP:chondroitin sulfate biosynthetic process (GO:0030206),down,-3.886335848648279,0.0004640220552299,0.0457351738186012,3.0624986563521666,up,False,0.5798941460865495,up,False,2.6346069465563344,up,False,1.4788746574911757,up,False,1.026541789616392,up,False,-0.9366694919500019,down,True
GOBP:exonucleolytic catabolism of deadenylated mRNA (GO:0043928),down,-3.888329728977391,0.0004614226268529,0.0457351738186012,-2.4054739867892465,down,True,-1.8387830488305605,down,True,-0.7926882927356158,down,True,-3.3934980523078764,down,True,-1.0408007656540776,down,True,-0.2647681415896954,down,True
GOBP:regulation of protein localization to Cajal body (GO:1904869),up,3.862271883767355,0.0004965424850674,0.0460616175853787,-1.4746055238084188,down,False,-1.900925759919945,down,False,0.49711933867797153,up,True,-2.9985397431751974,down,False,0.46922015477554424,up,True,0.10269234149144872,up,True
REAC:Nuclear Envelope (NE) Reassembly,up,3.875440854609504,0.0004784800205684,0.0460616175853787,-0.7838895417803953,down,False,-0.8003765490330713,down,False,1.6143540241945677,up,True,1.1794995878182692,up,True,-1.0766052670643054,down,False,-1.4336507017308395,down,False
GOBP:positive regulation of protein localization to Cajal body (GO:1904871),up,3.862271883767355,0.0004965424850674,0.0460616175853787,-1.4746055238084188,down,False,-1.900925759919945,down,False,0.49711933867797153,up,True,-2.9985397431751974,down,False,0.46922015477554424,up,True,0.10269234149144872,up,True
KEGG:Basal transcription factors,up,3.8698604249344672,0.000486054530111,0.0460616175853787,-2.192263041908517,down,False,0.26310149069192285,up,True,-0.8211353499904831,down,False,-1.381543638846946,down,False,-0.5320927567925059,down,False,0.024287314941478063,up,True
REAC:Loss of MECP2 binding ability to the NCoR/SMRT complex,up,3.838554306738219,0.0005307633910853,0.0485225430574808,0.31591847199613526,up,True,0.20645952640476048,up,True,-0.07414895794207553,down,False,0.21902674774899264,up,True,-2.163501494390952,down,False,-1.5174471914384355,down,False
GOBP:RNA polymerase II preinitiation complex assembly (GO:0051123),up,3.825477468971152,0.0005506025537732,0.0496171558457355,-0.46256892402964944,down,False,1.2037597593187588,up,True,-0.3975943115747468,down,False,0.004455803671946854,up,True,-0.5682873032631024,down,False,-0.09261484752291949,down,False
